Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Monkey Off My Back","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106811013/monkey-off-my-back,3.7,-1,Sport,5.8+,1,,44.37056,-121.14399
"A Brief History of Climb","The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106125070/a-brief-history-of-climb,3.7,-1,Sport,5.10b,1,75,37.65292,-83.71772
"Holy War","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/108668668/holy-war,3.7,-1,Sport,5.9,1,95,35.19166,-85.69914
"Tribal Boundaries","Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741602/tribal-boundaries,3.6,-1,"Sport, TR",5.10-,1,60,42.07673,-113.7137
"Lonesome Dove","Jimmy Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105879126/lonesome-dove,3.6,-1,Sport,5.10a,1,,43.80417,-71.84037
Gossamer,"Picture Window > Monster North > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714776/gossamer,3.7,-1,"Trad, Sport",5.7,1,40,43.88448,-103.46349
"Edge of Time","The Fin > Jurassic Park - Lily Lake > CO Hwy 7 & Tributaries > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105756826/edge-of-time,3.4,-1,"Sport, TR",5.9,1,85,40.3127,-105.5411
"27 Years of Climbing","The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106125099/27-years-of-climbing,3.5,-1,Sport,5.8,1,65,37.65292,-83.71772
Yippey-Kay-Yay,"Lady In Red > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/105868471/yippey-kay-yay,3.7,-1,Sport,5.10b,1,70,44.33171,-103.9001
"Big Bear Memorial","Hound Dog Crag > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107199072/big-bear-memorial,3.7,-1,Sport,5.10b,1,100,44.10018,-107.28473
Misty,"Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/105905421/misty,3.6,-1,Sport,5.10b/c,1,90,34.18041,-85.81555
Guppy,"Creek Side > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105763794/guppy,3.5,-1,Sport,5.8,1,115,39.74102,-105.41042
Jolt,"The Hinterlands > *Rumney > New Hampshire",https://www.mountainproject.com/route/105931493/jolt,3.5,-1,Sport,5.10a,1,,43.80547,-71.84373
